Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Calories
14104010,"Cheese (cheddar, Swiss)",1,1.0,slice (slice = 1 oz),114.2505
14640100,Grilled cheese sandwich,1,1.0,sandwich,290.0
7258,"Turkey lunch meat, fat free",1,1.0,ounce,28.56
92101000,Coffee,2,1.0,fast food (16 fl oz order),14.2
92101900,Latte,1,1.0,medium (14 fl oz order),142.8
92101900,Latte,2,1.0,cup,71.4
92101900,Latte,2,1.0,large (17 fl oz order),169.75
92101900,Latte,2,1.0,small (11 fl oz order),107.1
92161000,Cappuccino,1,1.0,medium (17 fl oz order),160.38
92161000,Cappuccino,2,1.0,large (20 fl oz order),190.74
92161000,Cappuccino,2,1.0,mug (8 fl oz order),79.2
92161000,Cappuccino,2,1.0,small (13 fl oz order),120.45
7259,"Turkey breast lunch meat, fat free",1,1.0,ounce,23.52
16126,"Tofu, firm",1,0.25,cup,44.1
16126,"Tofu, firm",2,0.25,block (3 oz),56.7
16129,Fried tofu,1,0.25,cup,168.02
16129,Fried tofu,2,1.0,piece,35.23
23559,Ground beef (95% lean),1,1.0,medium patty (4 per pound),167.28
23559,Ground beef (95% lean),2,1.0,ounce after cooking,45.92
23559,Ground beef (95% lean),2,1.0,ounce raw (cooked yield),42.64
23559,Ground beef (95% lean),2,1.0,large patty (3 per pound),219.76
23559,Ground beef (95% lean),2,1.0,medium meatball,45.92
23559,Ground beef (95% lean),2,1.0,small patty (5 per pound),132.84
23564,Ground beef (90% lean),1,1.0,medium patty (4 per pound),201.96
23564,Ground beef (90% lean),2,1.0,ounce after cooking,57.12
23564,Ground beef (90% lean),2,1.0,ounce raw (cooked yield),51.0
23564,Ground beef (90% lean),2,1.0,large patty (3 per pound),267.24
23564,Ground beef (90% lean),2,1.0,medium meatball,57.12
23564,Ground beef (90% lean),2,1.0,small patty (5 per pound),161.16
11111000,Whole milk,1,1.0,cup,146.4
11111000,Whole milk,2,8.0,fluid ounces,146.4
11112110,2% milk (reduced fat),1,1.0,cup,122.0
11112110,2% milk (reduced fat),2,8.0,fluid ounces,122.0
11112210,1% milk (low fat),1,1.0,cup,102.48
11112210,1% milk (low fat),2,8.0,fluid ounces,102.48
11113000,Fat free milk (skim),1,1.0,cup,83.3
11113000,Fat free milk (skim),2,8.0,fluid ounces,83.232
11114300,Low lactose lowfat (1%) milk,1,1.0,cup,102.48
11114300,Low lactose lowfat (1%) milk,2,8.0,fluid ounces,102.48
11114320,Low lactose fat free (skim) milk,1,1.0,cup,83.3
11114320,Low lactose fat free (skim) milk,2,8.0,fluid ounces,83.232
11114330,Low lactose reduced fat (2%) milk,1,1.0,cup,122.0
11114330,Low lactose reduced fat (2%) milk,2,8.0,fluid ounces,122.0
11114350,Low lactose whole milk,1,1.0,cup,146.4
11114350,Low lactose whole milk,2,8.0,fluid ounces,146.4
11115000,Buttermilk,1,1.0,cup,98.0
11115000,Buttermilk,2,8.0,fluid ounces,97.92
11121300,"Nonfat dry milk, reconstituted",1,1.0,cup,80.85
11121300,"Nonfat dry milk, reconstituted",2,8.0,fluid ounces,80.784
11220000,Sweetened condensed milk,1,0.25,cup,245.565
11320000,Soymilk,1,1.0,cup,98.0
11320000,Soymilk,2,8.0,fluid ounces,98.0
11321000,Flavored soymilk,1,1.0,cup,117.6
11411100,"Plain yogurt, whole milk",1,1.0,8 oz container,138.47
11411300,"Plain yogurt, fat free",1,1.0,8 oz container,127.12
11421000,"Flavored yogurt, whole milk",1,1.0,8 oz container,229.27
11422000,"Flavored yogurt, low fat",1,1.0,8 oz container,192.95
11424000,"Flavored yogurt, fat-free sugar-free",1,1.0,8 oz container,97.61
11431000,"Fruit yogurt, whole milk",1,1.0,6 oz container,202.3
11432000,"Fruit yogurt, low fat",1,1.0,6 oz container,173.4
11433500,"Fruit yogurt, fat-free sugar-free",1,1.0,6 oz container,86.7
11460150,"Frozen yogurt, low fat",1,1.0,cup,214.0
11460400,"Frozen yogurt, low fat sugar free",1,1.0,cup,199.02
11460440,"Frozen yogurt, whole milk",1,1.0,cup,220.98
11511100,"Chocolate milk, whole milk",1,1.0,cup (1 school carton),207.5
11511200,"Chocolate milk, 2% (reduced fat)",1,1.0,cup (1 school carton),175.0
11511300,"Chocolate milk, fat free (skim)",1,1.0,cup (1 school carton),140.0
11511400,"Chocolate milk, 1% (low fat)",1,1.0,cup (1 school carton),157.5
11514100,Instant cocoa (with water),1,1.0,packet dry mix with water,113.3
11514300,"Instant cocoa, diet (with water)",1,1.0,packet dry mix with water,57.13
11526000,Malted milk (Ovaltine),1,1.0,cup,173.9
11541110,Milk shake (whole milk),1,1.0,milkshake (10 fl oz),393.37
11541500,"Milk shake, low fat",1,1.0,small shake (12 fl oz),198.64
11541500,"Milk shake, low fat",2,1.0,large shake (22 fl oz),364.0
11541500,"Milk shake, low fat",2,1.0,medium shake (16 fl oz),264.16
11553000,fruit smoothie made with milk,1,1.0,commercial smoothie (20 fl oz),495.88
11553000,fruit smoothie made with milk,2,1.0,cup,197.96
11560000,Chocolate flavored drink,1,1.0,bottle (9 fl oz),128.78
11560000,Chocolate flavored drink,2,1.0,drink box,114.68
11623000,Meal replacement drink (Slim Fast),1,1.0,cup,173.6
11812000,"Dry milk powder, low fat",1,0.25,cup,109.8
11830970,Meal replacement powder (Slim Fast),1,1.0,tablespoon,48.6
11830970,Meal replacement powder (Slim Fast),2,1.0,scoop/dip,106.92
12110100,Light cream,1,2.0,Tablespoons (1 fl oz),58.5
12120100,Half & Half,1,2.0,Tablespoons (1 fl oz),39.26
12120100,Half & Half,2,1.0,individual container,19.5
12140000,"Whipped cream, sweetened",1,0.25,cup,103.53
12210200,Coffee Mate (liquid),1,2.0,Tablespoons (1 fl oz),40.8
12210250,Coffee Mate Lite (liquid),1,2.0,Tablespoons (1 fl oz),20.7
12210400,Coffee Mate (powder),1,1.0,packet,16.38
12310100,Sour cream,2,1.0,individual container,64.2
12310350,"Sour cream, low fat or light",1,2.0,Tablespoons,43.52
21501200,Ground beef (80% lean),2,1.0,ounce after cooking,75.32
21501200,Ground beef (80% lean),2,1.0,ounce raw (cooked yield),59.18
21501200,Ground beef (80% lean),2,1.0,large patty (3 per pound),317.42
21501200,Ground beef (80% lean),2,1.0,medium meatball,75.32
21501200,Ground beef (80% lean),2,1.0,small patty (5 per pound),190.99
21501300,Ground beef (85% lean),1,1.0,medium patty (4 per pound),238.08
21501300,Ground beef (85% lean),2,1.0,ounce after cooking,69.44
21501300,Ground beef (85% lean),2,1.0,ounce raw (cooked yield),59.52
21501300,Ground beef (85% lean),2,1.0,large patty (3 per pound),317.44
21501300,Ground beef (85% lean),2,1.0,medium meatball,69.44
21501300,Ground beef (85% lean),2,1.0,small patty (5 per pound),190.96
21602100,Beef jerky,1,1.0,piece (Slim Jim),39.36
21602100,Beef jerky,2,0.25,"cup, pieces",92.25
21603000,Pastrami (beef),1,1.0,slice (slice = 1 oz),97.72
22101110,Grilled pork chop (eat lean & fat),1,1.0,medium,216.0
22101110,Grilled pork chop (eat lean & fat),2,1.0,large,314.4
22101110,Grilled pork chop (eat lean & fat),2,1.0,small or thin cut,117.6
22101110,Grilled pork chop (eat lean & fat),2,4.0,ounces after cooking,272.16
22101120,Grilled pork chop (eat lean only),1,1.0,medium,174.72
22101120,Grilled pork chop (eat lean only),2,1.0,large,268.32
22101120,Grilled pork chop (eat lean only),2,1.0,small or thin cut,95.68
22101120,Grilled pork chop (eat lean only),2,4.0,ounces after cooking,235.872
22101210,Fried pork chop (eat lean & fat),1,1.0,medium,225.99
22101210,Fried pork chop (eat lean & fat),2,1.0,large,326.43
22101210,Fried pork chop (eat lean & fat),2,1.0,small or thin cut,122.76
22101210,Fried pork chop (eat lean & fat),2,4.0,ounces after cooking,316.386
92302000,Tea (unsweetened),1,1.0,teacup (cup = 6 fl oz),1.78
92302000,Tea (unsweetened),2,1.0,mug (mug = 8 fl oz),2.37
92302000,Tea (unsweetened),2,12.0,fluid ounces,3.56
92410320,"Soft drink, diet",2,1.0,small (drink = 16 fl oz),4.73
92410320,"Soft drink, diet",2,1.0,medium (drink = 22 fl oz),6.5
92410320,"Soft drink, diet",2,1.0,large (drink = 32 fl oz),9.46
92410320,"Soft drink, diet",2,1.0,extra large (drink = 44 fl oz),13.01
92510610,"Fruit drink (punch, ade, or cooler)",1,1.0,cup,119.04
92510610,"Fruit drink (punch, ade, or cooler)",2,1.0,Capri Sun container,100.32
92510610,"Fruit drink (punch, ade, or cooler)",2,1.0,drink box (box - 8 fl oz),125.76
